timestamp, x, y, z, lx, ly, lz
1400373584023, 11.025299, 0.10414778, -1.6400281, 0.1062427, 1.3042414, -0.36541504
1400373584039, 11.025299, 0.10414778, -1.6400281, 0.1062427, 1.3042414, -0.36541504
1400373584062, 11.180922, 0.19752164, -0.8331822, -0.004489128, 1.4556746, 0.4122516
1400373584077, 11.180922, 0.19752164, -0.8331822, -0.004489128, 1.4556746, 0.4122516
1400373584097, 11.46224, 0.5482722, -1.2665327, -0.33638534, 1.7360955, -0.030526072
1400373584116, 11.226412, 0.4297592, -1.5442601, -0.20739773, 1.5014638, -0.3007716
1400373584135, 10.771513, 0.016759412, -1.388637, 0.1882441, 1.046715, -0.14185645
1400373584155, 10.733206, 0.015562311, -1.2246342, 0.16819267, 1.0064626, 0.010923545
1400373584174, 10.46745, 0.2621651, -1.1671734, -0.08319851, 0.73831195, 0.049530048
1400373584194, 10.819398, 0.46806642, -1.578976, -0.286556, 1.0869676, -0.38920742
1400373584213, 11.332953, 0.36511576, -1.5933412, -0.19752164, 1.5943887, -0.45265377
1400373584232, 11.070788, -0.19512744, -1.1444284, 0.31693244, 1.3248913, -0.061501056
1400373584251, 10.936713, -0.19273324, -0.60214174, 0.2805705, 1.1846809, 0.42676646
1400373584271, 10.986992, -0.2765303, -1.1504139, 0.3494038, 1.2319664, -0.14933833
1400373584289, 11.033679, -0.24540567, -1.6843209, 0.31453824, 1.2785037, -0.6839935
1400373584309, 11.064803, -0.33039984, -1.9620483, 0.3854665, 1.3121722, -0.9367314
1400373584327, 10.389638, -0.23702596, -1.6759412, 0.2688988, 0.64014965, -0.6203975
1400373584347, 10.223241, 0.18435353, -1.7058687, -0.16370355, 0.47674543, -0.6218939
1400373584366, 11.052833, 0.15203181, -1.8650831, -0.14095862, 1.3088801, -0.75836337
1400373584389, 11.4598465, -0.2789245, -1.9237411, 0.25677812, 1.7187376, -0.79292965
1400373584406, 11.292253, -0.94570965, -1.5622166, 0.85098904, 1.552939, -0.41943422
1400373584425, 11.46224, -0.89782566, -1.3970166, 0.734571, 1.7241246, -0.252289
1400373584445, 11.988965, -0.770933, -1.590947, 0.5599439, 2.2529438, -0.4357447
1400373584464, 11.988965, -0.770933, -1.590947, 0.8399159, 1.9852421, -0.33967736
1400373584482, 11.717223, -1.0953473, -1.5191209, 0.86131406, 2.0189106, -0.13826515
1400373584502, 11.74715, -1.1444284, -1.3431472, 0.3131915, 3.090615, 0.3000234
1400373584522, 14.329297, 0.5494693, -1.5155296, -0.72768766, 4.602703, -0.27847558
1400373584541, 14.329297, 0.5494693, -1.5155296, -0.72768766, 4.602703, -0.27847558
1400373584559, 14.073117, 0.3172317, -2.0039468, -0.446369, 4.353257, -0.7091326
1400373584577, 13.41112, -0.07182605, -1.9069817, -0.046088383, 3.6984432, -0.5585972
1400373584597, 14.227544, -0.31483752, -2.0231004, 0.20560206, 4.5175595, -0.65436524
1400373584617, 15.557523, -0.3890578, -2.268506, 0.3043629, 5.8494835, -0.88480717
1400373584635, 15.5120325, -1.079785, -1.4736311, 0.99733466, 5.806837, -0.06988076
1400373584654, 14.19163, -0.79248077, -0.8738836, 0.70180035, 4.489278, 0.54902035
1400373584673, 14.201207, 0.51475334, -1.3371617, -0.5755062, 4.5015483, 0.10534488
1400373584693, 14.58428, 0.6500258, -1.2856863, -0.67651165, 4.8879123, 0.17971477
1400373584712, 13.815741, 0.08379706, -1.1444284, -0.09531915, 4.126257, 0.36631286
1400373584731, 13.409924, -0.47405192, -1.2234371, 0.4611831, 3.72867, 0.33892918
1400373584750, 13.190854, -0.60693014, -0.9552865, 0.58867437, 3.5152867, 0.64209497
1400373584770, 13.384785, 0.12330139, -1.2916719, -0.11552023, 3.713706, 0.33324295
1400373584789, 13.626599, 0.25617957, -1.5131354, -0.2148796, 3.9600096, 0.13751696
1400373584809, 14.025233, -0.15801731, -1.0354922, 0.21622634, 4.361637, 0.63206923
1400373584827, 13.826515, -0.06943185, -0.7410054, 0.13227965, 4.16636, 0.9460089
1400373584847, 12.751518, 0.3172317, -1.0809821, -0.24929625, 3.0958524, 0.6313211
1400373584866, 11.935096, 0.6596026, -1.6160861, -0.57041854, 2.2807765, 0.10295067
1400373584885, 12.229582, 0.736217, -2.8682537, -0.623091, 2.5730186, -1.1632828
1400373584905, 11.991359, 0.5734113, -3.1160536, -0.45848963, 2.3298576, -1.4393641
1400373584924, 11.991359, 0.5734113, -3.1160536, 0.0712275, 0.2582745, -0.48168346
